sender	time_ms
46	173.5
46	1927.69
47	3361.22
46	3365.96
46	4763.14
50	4763.26
47	4764.2
48	4765.85
46	4766.13
47	4767.05
46	5026.6
46	5507.02
46	5946.5
49	9743.06
46	9743.89
48	9745.88
47	9747.55
50	9748.31
46	10016.33
46	10250.79
46	10689.34
46	11233.61
46	11635.57
46	11922.12
46	12423.35
46	12669.33
47	12670.03
50	12672.45
48	12673.47
46	12866.1
46	15945.82
46	16276.32
46	16818.28
46	17287.43
46	17644.23
49	17859.37
46	17865.54
46	19227.41
46	21206.94
47	21209.89
50	21210.58
48	21211.19
46	21212.87
50	21845.91
46	21846.35
47	21850.98
49	21851.58
46	21851.85
46	22517.33
47	24402.59
46	24402.92
50	24405.89
46	24867.65
47	25870.89
46	25873.68
50	25878.69
48	27623.94
47	27628.22
50	27629.69
46	27630.59
47	27634.13
46	27636.52
46	28198.18
46	28659.3
46	29489.38
49	30266.41
46	30287.97
47	30289.74
50	30290.15
48	30291.06
46	30292.35
46	32867.82
46	33634.48
50	34225.89
48	34225.94
46	34226.34
47	34227.16
46	34228.24
50	34228.4
47	34229.29
48	34232.32
46	34788.18
46	35185.2
46	35377.92
48	35529.85
50	35531.36
47	35532.84
46	35536.06
46	37663.32
50	37665.64
48	37665.87
47	37666.05
46	38456.15
46	39198.0
47	39198.86
48	39201.15
50	39201.82
46	40651.29
46	41129.56
50	41869.42
46	41871.19
47	41872.61
48	41873.12
47	41874.64
46	41874.75
46	42245.09
46	42415.24
46	42742.95
46	43200.77
46	43673.02
50	43682.78
46	45062.12
46	46390.8
50	46692.78
46	47774.81
49	47775.53
47	47776.6
48	47777.12
50	47777.62
46	48152.31
46	49553.65
46	51261.18
48	51906.0
47	51906.43
46	51909.11
50	51916.98
46	54922.47
46	55327.08
46	56118.57
50	56123.64
47	57358.42
46	58251.27
46	58611.3
50	58613.83
47	58616.29
48	58616.5
46	60251.19
47	60255.13
50	60710.65
47	60716.62
46	60716.65
48	60718.55
47	60718.85
46	60719.35
46	61729.8
47	62515.67
48	62515.86
50	62516.87
46	62516.92
46	62518.13
47	62518.8
48	62520.33
49	62530.88
46	63003.39
46	64874.26
46	67112.91
46	67855.28
46	69550.03
46	69977.79
50	70097.11
46	70451.06
50	71404.53
46	71405.18
48	71406.11
47	71406.72
46	71627.56
46	71777.15
50	72287.14
47	72289.37
46	72289.45
48	72291.24
47	72291.94
46	73167.49
46	73735.34
46	75095.93
47	75586.0
46	75587.88
50	75593.17
46	76495.18
46	76984.34
46	77378.44
50	77925.28
46	77927.51
46	78726.76
47	79109.63
46	79109.91
50	79112.72
48	79114.54
46	79511.2
50	79976.3
49	79977.92
47	79979.81
48	79980.26
46	79980.96
46	80500.1
46	80761.91
47	80763.72
50	80766.76
48	80768.0
46	80955.55
46	81414.37
46	82909.25
46	83401.89
46	83988.87
46	85703.84
46	87283.53
47	87411.32
46	87411.48
48	87412.94
49	87413.63
50	87414.45
50	87422.46
46	87424.56
46	87982.97
46	88429.69
47	88932.29
46	88932.31
50	88936.35
48	88936.85
46	89209.71
46	89672.58
46	90216.85
46	90559.99
46	91138.46
46	91278.47
47	91342.39
46	91947.03
46	92582.36
46	93826.58
46	94316.35
48	94319.42
50	94320.83
47	94322.16
46	97046.6
50	98890.97
47	98901.02
46	99370.92
47	99937.1
46	100790.16
47	101636.6
46	101637.61
49	101638.06
50	101639.58
48	101639.82
47	101641.45
46	101646.0
50	101649.65
47	102180.17
46	102266.61
46	102656.05
46	102834.34
46	103126.01
46	103781.47
47	103782.47
50	103783.17
48	103786.31
50	105519.98
46	106632.36
46	106859.82
50	108058.04
46	108135.18
46	108517.47
46	108730.93
46	109495.13
47	109495.94
50	109498.86
49	109498.93
48	109500.92
46	109501.46
47	109502.18
46	110785.73
46	111152.42
50	111156.31
49	111191.6
46	111835.12
46	112440.46
46	113628.71
46	114542.01
47	114543.11
50	114546.45
46	114838.61
46	116248.02
46	117182.21
46	117620.01
46	117793.1
50	117808.0
48	117813.25
47	117816.19
49	117830.4
50	118973.6
48	118980.6
46	118995.09
47	118996.88
46	119172.07
46	120166.79
50	120171.77
47	120175.94
47	120311.13
46	120312.69
50	120313.74
48	120313.99
46	120315.06
47	120315.34
48	120316.83
46	120711.52
46	121486.35
46	122045.91
46	122282.5
46	123465.52
46	127012.98
47	127020.75
