sender	time_ms
285	197.6
282	197.62
283	197.78
281	198.08
283	199.3
281	199.43
285	200.22
282	200.32
285	204.05
281	514.56
282	785.02
283	790.43
281	1397.3
283	1398.06
285	1399.06
282	1410.67
281	2265.16
281	2880.24
281	3121.87
282	3122.28
285	3122.59
283	3124.87
284	3133.9
283	3138.46
285	3139.43
282	3139.53
281	3140.0
282	4034.98
281	4154.69
282	4971.55
281	4975.72
283	4976.14
285	4977.5
281	5107.8
282	5610.51
283	5612.04
281	5613.49
285	5616.11
283	5985.88
284	5996.96
281	5997.37
285	5997.4
282	5998.06
283	5999.95
285	6000.58
282	6000.65
281	6001.36
282	6003.06
281	6005.95
281	6710.55
281	7070.21
285	7114.25
283	7116.79
282	7119.2
284	7124.05
281	7124.1
281	7330.46
285	7435.98
281	7780.29
281	8921.91
281	9201.89
283	10112.81
282	10116.36
285	10312.4
284	10313.22
283	10313.83
281	10313.92
282	10314.41
281	10878.06
285	10880.68
283	10881.12
282	10882.45
281	10883.21
285	10883.24
283	10884.05
282	10884.8
281	10885.34
281	11866.92
282	12717.36
285	12719.3
283	12719.81
281	12721.31
283	12722.63
281	12723.09
282	12724.96
285	12726.04
282	13180.13
284	13180.34
283	13183.61
281	13183.87
285	13185.42
281	14611.59
282	14612.07
285	14613.1
283	14613.17
282	14616.31
285	14617.49
283	14619.0
281	16039.31
285	16047.14
283	16047.51
282	16047.54
281	16049.62
281	16475.82
281	18250.8
282	18525.78
281	18527.14
285	18527.81
284	18528.13
283	18528.97
281	18531.78
285	19168.96
282	19169.74
281	19172.45
283	19172.95
281	19181.87
283	19183.33
284	19183.91
285	19184.06
282	19190.23
281	20229.43
282	20229.67
285	20229.88
283	20230.77
283	20231.95
281	21373.41
281	21608.45
281	21801.34
285	22569.21
282	22586.42
283	22589.12
281	22591.69
285	23058.78
281	23066.87
282	23090.49
283	23092.45
281	23093.84
284	23094.42
285	23094.48
282	23094.87
283	23095.88
281	23442.19
285	23446.35
283	23448.43
282	23450.42
285	23452.03
281	23452.42
283	24069.93
281	24070.25
282	24071.11
285	24072.51
281	25344.96
285	27028.63
282	27029.35
283	27029.5
281	27029.56
285	27030.97
281	27031.15
283	27031.3
282	27031.61
285	27770.89
281	27773.94
283	27774.44
282	27775.55
284	27813.89
281	30025.36
282	30396.91
285	30398.95
281	30399.13
283	30402.02
281	30708.78
281	31230.25
282	31698.74
285	31700.77
281	31701.65
283	31709.96
283	31886.67
281	31888.81
285	31890.1
282	31892.12
283	31894.3
281	31894.57
285	32916.15
282	32916.39
281	32916.71
283	32917.75
284	32918.09
282	33726.03
281	33726.51
285	33728.25
283	33728.81
284	33745.14
283	34258.11
281	34372.53
281	35258.7
285	35261.16
283	35265.01
285	35900.57
282	35901.25
281	35902.51
283	35903.35
282	35904.19
281	36363.84
281	36978.15
281	37091.83
283	37800.2
282	37801.92
281	37810.65
285	37812.92
284	37813.27
281	38785.96
285	38786.96
283	38787.4
282	38788.28
283	38789.67
281	39216.19
282	40602.0
283	40605.38
281	40607.58
282	41207.01
285	41207.44
281	41207.76
283	41208.8
285	41209.41
282	41210.41
281	41210.86
284	41216.07
285	42004.7
281	42007.01
283	42007.57
282	42008.44
285	42008.72
283	42008.86
281	42010.55
283	43679.63
285	43680.32
281	43686.99
282	43688.21
281	43689.35
283	43690.37
284	43691.09
281	43845.4
283	44178.09
282	44178.39
285	44179.65
281	44179.66
285	44181.59
282	44182.3
281	44509.02
282	44979.32
285	44981.33
281	44982.35
283	44984.22
284	44998.37
283	47437.3
281	47437.67
285	47439.99
282	47440.92
284	47448.7
283	49840.95
285	49841.16
281	49841.31
282	49843.09
281	51004.0
281	51168.33
283	51730.03
284	51887.76
285	51891.17
282	51892.1
281	51893.67
283	51895.64
281	52113.0
282	52227.51
285	52231.84
283	52233.84
281	52234.63
281	52450.44
282	52453.84
283	52458.33
285	52458.59
281	52771.28
281	53050.85
285	53059.28
282	53075.45
284	53076.7
285	53077.39
283	53078.53
281	53078.79
285	53080.02
283	53080.3
282	53080.89
282	54396.33
281	54401.13
285	54402.97
283	54403.34
285	55387.62
282	55390.33
281	55390.5
283	55392.01
281	55393.72
285	55402.9
282	55408.17
281	57256.28
282	57736.05
281	57738.23
283	57741.75
281	57820.09
285	57889.3
283	57891.35
281	57892.0
282	57892.59
283	57898.13
281	59316.92
285	59657.09
281	60176.88
282	60786.98
281	60787.74
285	60788.96
283	60789.09
281	61325.8
281	61888.05
283	62419.28
281	63081.61
283	63083.84
282	63090.42
281	63507.05
282	63775.3
285	63776.67
283	63777.15
281	63777.32
283	63780.99
285	64489.3
282	64491.32
283	64491.52
281	64493.28
283	65056.55
282	65063.87
281	65063.91
285	65066.08
285	65557.16
283	65559.21
282	65560.63
281	65561.23
285	65563.09
283	65567.34
285	66116.34
281	66120.45
283	66121.26
282	66124.47
285	66443.88
282	66453.08
281	66820.85
283	66823.82
281	67011.34
285	67823.53
282	67823.62
284	67823.64
281	67823.72
283	67824.49
283	67824.91
282	67825.23
285	67825.24
281	67825.3
281	67996.59
285	68858.08
283	68858.1
284	68858.57
282	68858.79
281	68858.87
283	68859.01
282	68859.43
281	68860.22
285	68860.38
283	68861.0
281	69345.32
281	69415.97
283	69417.4
285	69417.56
282	69419.66
281	69904.94
283	69906.18
281	69907.43
285	69907.57
282	69909.27
283	70658.6
282	71526.94
285	71745.68
283	71752.72
281	73067.93
285	73231.98
281	73464.26
282	73929.25
281	73930.08
285	73932.99
283	73933.04
283	73940.89
281	74264.76
281	75418.53
281	76191.75
281	77661.98
285	78149.79
281	78150.79
282	78150.81
283	78152.72
283	78159.1
285	78159.89
281	79780.84
283	79874.44
281	79875.44
282	79881.55
281	80143.93
281	80734.4
282	81573.08
281	81574.3
285	81574.45
283	81575.74
281	82259.4
281	82754.5
282	83428.63
285	83429.26
281	83430.67
283	83431.43
285	83434.54
284	83435.9
282	83764.65
281	85136.9
282	85457.87
284	85460.09
281	85461.08
285	85461.22
283	85461.68
281	86185.65
281	86648.0
281	86850.92
285	86895.74
282	86896.53
283	86897.64
281	86897.91
281	87384.66
284	87621.67
285	87624.4
282	87625.18
281	87626.54
283	87626.78
282	88090.49
281	88093.63
283	88095.18
285	88095.68
281	88096.35
285	88097.9
282	88098.3
283	88099.46
281	88100.13
285	88101.79
281	88607.21
281	90082.41
283	90088.18
285	90192.53
282	90192.96
281	90193.71
283	90194.77
281	90544.89
283	90548.23
282	90548.38
285	92372.74
282	92379.2
283	92383.18
281	92681.6
282	93175.01
285	93177.04
281	93179.2
283	93179.52
284	93184.74
281	93186.34
281	93678.52
281	94033.44
281	94171.73
282	94184.56
285	94187.65
283	94188.86
281	94191.86
285	94192.63
282	94192.68
284	94193.27
283	94194.27
281	94664.46
282	94689.71
283	94692.52
285	94693.17
281	94693.62
283	94693.71
281	94885.29
283	94973.97
281	94974.82
285	94977.29
282	94978.95
282	95218.28
285	95220.65
281	95222.11
283	95226.2
281	95229.24
281	95449.55
285	95450.29
282	95450.7
283	95452.59
281	98026.68
283	98937.5
282	98937.88
285	98940.28
281	98949.8
284	98954.19
281	99220.15
281	99418.91
281	99610.54
285	99752.85
282	99753.13
283	99756.26
281	99756.72
284	99763.71
281	99765.75
285	99767.11
283	99769.03
282	100131.61
285	100133.64
283	100134.25
281	100134.48
281	100906.76
285	100906.83
282	100907.2
283	100907.61
281	100909.04
285	100909.45
281	101344.97
282	101348.26
285	101348.87
283	101351.41
281	102576.94
283	102577.19
285	102578.67
282	102578.8
283	102580.36
281	102582.1
281	102864.87
282	103501.75
281	103510.67
285	103510.9
283	103512.45
281	104426.57
282	104431.83
283	104433.49
285	104436.47
281	104716.44
281	104838.94
281	106317.08
281	107344.68
284	107670.95
281	108115.96
281	108885.66
281	109517.71
285	109864.32
281	109871.06
281	110831.49
283	111186.69
281	111189.16
285	111190.3
282	111193.43
284	111209.17
281	111754.07
281	112312.43
281	113246.56
281	113516.08
285	114095.87
285	116044.45
281	116044.77
282	116046.86
283	116056.19
283	116934.63
284	117428.57
281	117429.13
283	117429.34
285	117430.07
282	117430.31
281	117430.99
283	117431.36
281	118301.2
281	119160.58
281	119552.96
282	119553.44
285	119554.06
283	119555.89
281	119557.01
281	120491.22
281	120676.63
282	120677.63
283	120684.47
285	120686.97
282	120707.35
281	120707.43
283	120708.09
285	120709.34
281	121042.07
281	121858.63
282	122466.29
281	122467.29
283	122469.06
285	122469.12
281	123677.24
281	123934.19
281	124796.9
285	125892.28
281	128322.95
282	128324.75
285	128325.43
283	128325.71
284	128334.62
282	128336.68
285	128337.09
281	128622.81
285	129555.86
281	129712.01
284	129813.57
