sender	time_ms
149	1032.63
146	1034.05
150	1034.27
147	1034.34
148	1035.46
146	1036.7
146	1039.3
146	1314.57
149	1456.97
146	1472.48
148	1473.11
150	1475.29
149	1477.06
147	1477.92
146	1478.13
150	1478.3
148	1478.89
149	1479.57
146	1479.89
148	1480.17
146	1480.97
149	1861.14
146	1862.05
148	1864.1
146	1864.36
150	1864.55
146	1865.93
150	1866.21
147	1866.31
149	1866.58
148	1866.64
148	1868.5
149	1868.57
146	1870.15
146	2270.91
146	2930.49
149	3319.88
147	3320.03
146	3320.62
148	3321.62
150	3321.97
146	3323.19
146	3327.64
149	3328.38
146	3329.15
148	3329.67
146	4189.42
149	4194.2
146	4199.47
148	4200.99
150	4202.17
147	4202.38
149	4203.2
146	4203.97
148	4205.32
146	5019.62
146	5203.57
149	5204.13
148	5205.8
150	5206.03
146	5206.87
150	5208.41
149	5208.5
148	5208.76
147	5208.78
146	5208.86
146	5210.43
148	5210.74
149	5212.21
147	5213.57
146	5378.3
146	5852.44
147	5852.52
150	5854.62
148	5854.85
149	5855.85
146	5857.67
146	5860.15
148	5861.37
146	5861.46
149	5862.48
150	5864.53
146	7436.49
147	7564.65
150	7583.77
148	7584.61
146	7586.33
149	7586.42
147	7598.15
146	7601.7
148	7603.79
146	9341.43
146	9844.21
146	10153.66
149	10634.96
146	10635.66
147	10635.94
150	10636.34
148	10636.44
146	10637.83
150	10639.33
149	10639.53
146	10641.25
148	10641.96
146	10989.86
149	10996.43
147	10996.92
146	10997.03
148	10997.35
150	10998.53
146	10999.64
148	11000.5
149	11001.06
150	11003.14
146	11659.45
149	11681.76
148	11683.19
146	11684.17
150	11685.07
146	11685.12
149	11686.56
146	11686.83
148	11688.84
147	12705.12
150	12719.45
146	12719.69
149	12720.2
146	12720.8
148	12720.91
149	12721.0
150	12722.88
146	12728.17
147	12729.71
148	12730.13
149	12731.83
146	13199.15
147	13412.65
149	13413.06
146	13413.24
148	13413.53
150	13414.99
146	13415.21
146	13417.13
150	13417.31
149	13418.54
148	13419.41
146	13419.66
147	13421.57
149	14913.91
146	14914.25
148	14915.04
147	14916.61
150	14916.67
146	14921.86
149	15576.22
146	15576.55
147	15576.65
150	15576.87
148	15578.27
149	15579.69
146	15582.72
146	15817.93
146	16827.02
148	16829.8
149	16830.05
150	16830.53
146	16833.31
146	16834.62
147	16835.33
148	16835.88
149	16835.95
146	16836.91
150	16837.49
149	16838.89
148	16839.12
146	17342.2
146	17343.43
149	17343.46
148	17343.85
147	17345.45
150	17346.3
150	17349.67
148	17349.7
149	17349.71
146	17351.68
147	18142.25
148	18143.15
149	18144.91
150	18145.08
146	18146.45
146	18154.4
148	18974.46
146	18974.79
149	18975.02
147	18975.72
150	18976.08
146	18976.44
148	18977.16
149	18977.26
146	18978.29
150	18979.53
146	19412.07
146	19614.27
146	19987.51
149	19989.6
148	19989.81
146	19989.83
150	19990.04
147	19990.53
146	19991.0
148	19991.02
149	19991.18
150	19991.76
146	19991.98
148	19992.6
146	19994.45
146	20373.81
146	20380.2
149	20381.19
148	20382.42
150	20384.02
146	20385.62
147	20386.33
148	20386.44
149	20386.62
150	20386.92
146	21387.66
146	21970.85
148	21972.37
149	21972.48
146	21972.62
150	21975.0
146	21975.66
147	21975.74
146	23121.85
147	23122.81
146	23130.35
149	23130.57
148	23131.43
146	23132.38
150	23132.49
148	23132.56
149	23134.14
150	25279.24
147	25279.56
149	25279.8
148	25281.44
146	25281.67
146	25287.38
148	25288.3
147	25292.71
149	25293.95
146	25916.23
147	25916.99
148	25917.31
149	25917.86
150	25918.52
146	25919.34
149	25920.53
146	25924.29
148	25925.9
146	25926.84
146	26472.36
149	26655.48
146	26656.15
148	26656.64
146	26657.46
150	26658.1
146	26659.39
148	26660.89
149	26661.57
147	26663.01
150	26663.65
146	27055.63
146	28973.64
149	28974.12
148	28974.53
150	28975.13
147	28975.23
146	28979.04
149	28980.66
148	28981.21
146	28981.44
150	28983.37
146	29195.61
146	29582.73
146	29728.72
149	29730.27
148	29730.27
147	29731.12
146	29731.56
150	29731.61
149	29731.7
148	29733.92
146	29734.06
149	30210.92
146	30214.76
148	30215.83
150	30218.51
146	30220.29
147	30221.33
146	30221.39
149	30221.6
148	30221.79
146	30223.25
150	30223.31
146	30724.71
148	30726.87
149	30728.5
150	30729.02
146	30729.53
148	30731.09
147	30731.48
149	30731.97
150	30732.33
146	30732.75
150	30734.18
149	30734.31
146	30957.4
146	31755.87
146	32353.23
147	32844.35
149	32884.91
146	32885.32
148	32886.27
146	32886.46
150	32886.9
147	32887.22
149	32888.22
146	32888.22
148	32888.48
150	32889.13
146	32890.97
146	33428.88
149	33429.78
150	33432.81
148	33433.25
146	33434.23
147	33435.39
148	33435.77
149	33437.33
150	33437.74
147	33438.41
