sim,pearson,auc
16_pop_stim_full_inh_pto_2,0.263371138671725,0.648384353741497
16_pop_stim_isolated_try_1,0.410608734599334,0.831439393939394
16_pop_stim_isol_full_inh_2,0.239109596962592,0.769683257918552
16_pop_stim_full_inh_pto_6,0.259989640917822,0.615706806282723
16_pop_stim_full_inh_2,0.0340703377949066,0.529411764705882
16_pop_stim_full_inh_1,0.0532006635556425,0.49097109199411
16_pop_stim_full_inh_pto_4,0.175874812200293,0.594603302456706
16_pop_stim_full_inh,0.117492718244612,0.557323793075088
32_pop_stim_isol_full_inh_2,0.181776651805198,0.720186428917429
32_pop_full_inh_pto_1,0.132983206820072,0.541908482142857
32_pop_stim_isol_full_inh_1,0.133670721147899,0.769100636205899
32_pop_stim_full_inh_1,-0.161889183971513,0.522217310148345
32_pop_stim_full_inb_2_new,-0.0112591398779153,0.499586749537159
32_pop_stim_full_inb_new,0.0924980799214019,0.595696137167186
32_pop_stim_full_inh,-0.106502912282844,0.527325762320622
32_pop_isol_stim_full_inb_2_new,0.302552602473477,0.788919989127161
32_pop_full_inh_pto_2,0.0714952063697084,0.523945035320053
32_pop_isol_stim_full_inb_1_new,0.30069295535908,0.780200503242501
4_pop_stim_full_inh_2,0.433737623610105,0.8125
4_pop_stim,0.684583958246507,0.9375
4_pop_full_inh_pto_2,0.768188859025735,0.833333333333333
4_pop_full_inh_pto_1,0.610637306527706,0.770833333333333
4_pop_full_inh_pto_3,0.622079241366057,0.75
4_pop_stim_2,0.954526010729181,1.0
4_pop_full_inh_pto_5,0.383029705687965,0.677083333333333
4_pop_stim_full_inh_4,0.50245136419747,0.802083333333333
4_pop_stim_1,0.876549597975226,0.958333333333333
4_pop_stim_full_inh_1,0.811047933128206,0.822916666666667
4_pop_full_inh_pto_4,0.439902775150491,0.760416666666667
60_pop_stim_5,0.0248756639891513,0.485206648857324
60_pop_stim_isol,0.37628734476413,0.812377842664322
60_pop_stim_full_inh_isol_1,0.122066122603811,0.737407463730649
60_pop_stim_4,0.0394770161531374,0.507017086277032
60_pop_stim_full_inh_2,-0.0945079088098716,0.525190873647293
60_pop_stim_full_pto_2,0.0677035703289615,0.512425916624812
60_pop_stim_full_inh__isol_pto_1,0.216591680420354,0.841263845101745
60_pop_stim_full_inh_1,-0.123832378813711,0.533719484949928
8_pop_stim_isol_full_inh_3,0.851977120483276,0.86875
8_pop_full_inh_stim_2,0.475627868010861,0.863945578231292
8_pop_stim_full_inh_3,-0.0738081561738619,0.671345029239766
8_pop_full_inh_pto_1,0.465883743071268,0.781632653061225
8_pop_stim_1,0.659331817034223,0.970982142857143
8_pop_full_inh_pto_6,0.500943883528977,0.703379224030038
8_pop_stim_isol_full_inh_1,0.460877196690087,0.825892857142857
8_pop_full_inh_stim_1,0.619302611515351,0.881481481481482
8_pop_stim_full_inh_2,0.198492109944679,0.600649350649351
8_pop_stim,0.436401192046596,0.815104166666667
8_pop_stim_isol_full_inh_2,0.145205064609597,0.807017543859649
8_pop_full_inh_pto_3,0.389133565548244,0.709637046307885
16_isolated_full_inh_stim,0.623140616200998,0.88433908045977
16_full_inh_stim,0.612539472563044,0.856802721088435
