sender	time_ms
224	196.61
222	197.82
221	198.2
223	200.13
224	200.51
222	202.47
221	202.72
221	549.91
221	816.46
222	1391.18
225	1392.94
224	1392.97
221	1394.97
223	1396.47
221	1855.05
222	3108.48
224	3124.29
221	3124.74
221	3127.44
223	3128.42
222	3134.68
224	3134.79
225	4290.76
221	4296.85
224	4971.53
221	4972.53
223	4973.61
222	4973.92
221	4976.63
221	5320.6
222	5593.82
224	5595.31
221	5608.0
223	5608.43
221	5611.84
224	5973.62
221	5982.6
221	5997.7
224	5997.9
223	5998.35
224	5998.66
222	5998.7
221	5999.25
223	6000.19
222	6002.28
221	7114.99
223	7117.47
224	7119.26
221	7122.4
222	7123.11
221	7124.89
224	7125.3
221	7790.4
221	9640.7
221	10108.12
224	10131.84
225	10230.2
221	10310.76
222	10312.51
223	10313.22
224	10313.53
221	10315.69
221	10817.75
223	10865.36
224	10867.45
224	10881.46
221	10881.68
222	10883.23
221	10886.39
221	12488.72
224	12564.59
221	12701.59
221	12720.31
224	12720.46
223	12720.85
222	12721.94
224	12723.75
223	12723.83
223	13170.59
224	13173.48
221	13176.22
222	13177.75
221	13183.05
222	13534.12
224	14610.47
221	14610.52
222	14612.16
223	14613.0
224	14614.26
221	14614.77
224	14785.74
221	14789.36
221	16045.07
224	16045.89
222	16046.48
223	16046.69
221	16046.9
224	16486.28
221	16638.78
221	18418.41
224	18526.31
225	18527.64
222	18527.81
223	18528.46
221	18528.52
224	18530.21
221	18533.83
224	19171.64
221	19171.73
222	19173.73
223	19175.05
221	19182.29
224	19183.28
224	19922.15
221	20231.71
224	20231.74
221	20232.82
223	20233.82
222	20234.58
221	20477.57
221	20803.06
222	21260.75
222	21859.58
224	21867.49
221	22576.81
224	22583.23
222	22584.28
223	22585.65
221	23064.25
224	23069.69
222	23072.73
223	23078.5
224	23091.13
225	23092.45
221	23095.63
223	23438.38
224	23440.49
221	23440.5
222	23443.38
221	23443.77
224	23444.05
221	23756.4
222	23777.69
221	24067.3
224	24067.55
223	24068.99
221	24069.01
222	24069.95
224	24070.89
221	24071.57
225	24491.13
225	25264.74
222	25276.95
221	25525.38
221	26311.27
221	26739.32
225	27002.95
221	27009.4
222	27010.37
223	27013.53
224	27025.17
221	27025.72
222	27027.7
224	27037.22
222	27041.39
221	27424.66
224	27774.28
222	27777.52
221	27799.31
223	27806.12
221	28095.99
221	28788.36
221	28962.04
221	29199.29
221	29647.46
221	30270.57
222	30480.55
221	30955.35
221	31236.04
224	31697.43
221	31865.06
224	31887.09
222	31888.72
223	31889.31
221	31889.43
224	31891.61
222	31892.73
225	31904.95
221	32739.16
221	32907.18
224	32907.53
221	32918.13
224	32918.39
223	32920.5
221	32922.86
222	32925.55
221	33720.76
222	33722.43
224	33723.13
223	33724.06
221	33729.93
224	33731.61
221	33731.81
221	34251.45
223	34255.46
221	34567.98
221	35899.62
224	35901.35
221	35903.71
223	35903.76
225	35914.41
222	35916.04
222	36845.03
221	36929.82
224	37797.48
221	37798.35
221	37800.66
223	37800.77
222	37800.87
