	m	alpha	pearson	AUC	confidence
0	1	0.2	0.7062343039081931	0.9538109628898668	0.7355924104559135
1	1	0.5	0.6547714560754494	0.9370780259687488	0.5977443999101204
2	1	0.8	0.5922772328676248	0.9158065440666959	0.48054510302088305
3	5	0.2	0.7234265756135727	0.9461360692790206	0.8264815849031129
4	5	0.5	0.7198120053613895	0.9484905982099777	0.8359216036577327
5	5	0.8	0.6960078347512499	0.9472353331712856	0.7636532388783689
