sender	time_ms
6	11.68
8	363.18
8	550.49
6	1083.61
8	3375.76
7	3376.5
9	3376.6
6	3378.89
9	3534.93
6	4136.29
6	4760.42
8	4760.59
9	4765.05
7	4769.75
10	4784.92
6	5103.31
6	5384.71
6	6061.4
6	6943.87
6	7229.97
9	7525.78
6	8252.85
6	8622.79
6	9735.73
8	9740.03
7	9742.96
10	9760.69
6	10268.79
6	10770.04
6	11379.41
8	12664.76
6	12667.81
9	12668.76
7	12669.16
10	12680.58
6	14703.69
6	16011.57
6	16619.32
6	16917.11
6	18575.69
6	19400.03
6	19694.64
8	21208.42
6	21208.47
9	21210.23
7	21210.82
6	21839.65
9	21840.94
8	21843.63
7	21846.02
8	21849.22
6	23821.46
6	24411.1
6	25331.63
8	25876.26
6	25876.35
9	25879.77
7	25880.75
6	26560.88
6	27608.58
8	27625.73
9	27627.44
7	27628.71
10	27629.31
6	27630.67
8	27638.9
7	27639.46
6	28918.83
6	29334.84
8	30281.66
7	30284.01
9	30284.72
6	30286.67
6	32419.75
6	33016.03
6	33494.89
6	34042.31
7	34222.16
6	34223.27
8	34223.76
10	34223.81
9	34225.27
8	34226.9
8	34875.99
6	35136.07
6	35277.67
8	35291.79
8	35481.25
10	35525.3
6	35527.4
9	35541.78
7	35547.3
8	35553.4
6	36796.84
6	37518.58
7	37661.3
9	37662.83
6	37663.52
8	37663.76
8	39196.37
7	39198.2
9	39198.5
6	39200.11
6	40822.94
10	41866.29
8	41866.36
7	41869.47
9	41869.5
6	41870.69
8	41873.63
6	44510.61
6	45661.19
7	45667.27
6	46684.87
8	46687.26
8	47773.07
6	47774.62
9	47777.06
7	47777.39
10	47786.5
6	50629.97
6	51141.01
6	51890.39
8	51916.81
9	51919.05
10	51926.23
7	51926.49
9	52163.7
6	52237.32
9	52611.99
6	55253.06
7	55531.4
6	55947.46
6	56135.77
6	56895.16
6	57355.05
6	57830.47
6	58145.58
8	58605.37
6	58605.55
7	58606.87
9	58608.76
8	60712.78
10	60722.43
7	60723.56
9	60723.59
8	60724.65
6	60724.66
6	62344.2
6	62513.37
8	62514.47
9	62516.05
10	62523.65
7	62523.75
9	62525.74
8	62526.98
6	65412.87
6	66946.38
6	67533.36
6	68957.73
6	69428.82
6	70090.03
10	71401.62
9	71401.83
8	71403.26
6	71404.12
7	71404.4
8	72278.32
10	72280.7
6	72283.49
9	72284.59
7	72285.43
8	73728.46
7	73732.24
6	73912.12
6	74369.05
8	75590.27
6	75590.51
9	75594.32
7	75594.49
6	75891.37
6	77374.8
8	77913.75
6	77919.33
9	77921.67
7	77924.59
6	78717.24
6	79119.04
7	79123.13
6	79782.11
8	79795.66
8	79972.01
6	79973.8
9	79973.91
7	79977.72
10	79986.52
8	80334.27
8	80760.21
7	80762.77
6	80829.71
6	81679.54
6	82126.83
6	83296.77
6	87418.95
7	87419.13
9	87419.42
8	87419.5
10	87419.53
8	87420.81
6	87421.28
9	87422.71
7	87423.21
9	87885.87
6	88759.75
8	90161.44
6	90509.24
10	91327.86
6	91544.61
6	92116.27
6	93462.88
6	94288.51
7	94314.39
8	94314.88
9	94315.48
8	94319.59
6	97058.87
6	97394.9
6	98885.63
8	98887.0
8	99965.22
7	99965.32
6	99972.38
6	101547.01
8	101643.03
10	101643.53
9	101643.55
6	101644.02
7	101644.15
8	101644.6
6	101645.45
7	101645.82
9	101645.88
8	101647.14
8	103776.22
6	103780.29
7	103783.13
9	103785.13
9	104012.38
6	104514.24
6	104643.15
6	105509.2
8	105710.5
7	105721.95
6	106852.36
6	107383.59
6	108050.82
8	108055.49
8	109068.62
6	109095.45
8	109493.72
6	109497.83
9	109499.2
7	109499.78
10	109509.32
8	111152.81
7	111183.52
9	111185.58
6	111187.77
6	111659.13
6	113326.53
9	114422.38
9	114545.16
6	114549.23
6	114749.17
6	114997.11
8	117787.11
7	117789.42
6	117796.53
10	117799.36
9	117802.58
6	118061.47
6	118436.23
8	118967.77
6	118972.16
9	118995.77
7	118996.12
8	118996.55
6	118998.02
6	119400.67
7	120311.05
9	120311.08
6	120312.08
8	120312.53
10	120314.01
7	120315.01
8	120315.91
9	120316.33
6	120318.1
6	122241.75
6	122882.2
10	122919.03
6	124672.67
8	125059.53
6	125067.96
8	125609.9
6	126039.98
6	126804.79
10	127017.08
6	127295.9
6	128131.34
6	129204.83
8	130689.79
7	131728.73
7	133021.3
8	133021.49
9	133022.11
6	133022.91
8	133023.91
9	133026.49
7	133027.08
6	133027.85
8	133907.44
6	134629.41
8	134733.21
7	134735.2
9	134736.36
6	134737.77
6	135304.81
6	135968.4
7	138552.44
6	140803.01
6	141223.64
7	141246.58
8	141247.84
10	141247.85
9	141248.65
6	142638.67
6	142907.49
6	143572.08
6	143999.42
8	144900.04
9	144902.3
6	144902.48
