sender	time_ms
86	673.3
86	1004.88
88	1264.53
86	1267.2
86	1635.45
86	2077.8
86	3111.4
86	3315.57
88	3381.27
87	3381.58
86	3902.73
88	4140.33
86	4142.72
89	4765.3
90	4766.79
86	4767.8
87	4769.22
88	5875.94
86	5879.7
87	5888.25
86	6063.8
89	6068.89
86	6299.89
86	6787.75
89	6950.56
88	7237.98
86	7316.76
86	7582.62
88	7598.35
88	8262.13
90	9522.45
89	9533.26
87	9746.1
89	9746.7
86	9747.38
90	9750.53
86	10714.53
90	11087.97
86	11091.44
86	12519.75
88	12671.4
86	12672.8
87	12686.76
90	13323.44
86	15042.22
86	17509.44
86	20936.64
86	21215.0
90	21221.84
88	21844.93
86	21845.27
90	21847.95
87	21857.61
89	21860.89
86	23581.34
86	24649.29
86	27565.74
87	27631.91
88	27632.73
86	27633.98
89	27634.04
86	28144.5
90	28802.19
86	29128.08
86	29711.17
86	30074.33
88	30286.09
86	30288.51
89	30289.93
90	30293.59
87	30294.99
86	32626.66
89	34225.35
87	34225.45
86	34227.25
86	34703.96
88	35529.78
86	35532.85
89	35534.4
87	35536.99
86	35811.19
86	36822.02
86	37018.88
86	37664.91
88	37665.6
86	38891.02
90	38894.96
86	40857.09
88	41869.22
89	41871.35
90	41871.5
87	41871.83
86	41872.36
86	44156.46
86	44829.95
86	46165.56
86	46249.07
86	46320.79
90	46326.13
86	47180.14
90	47184.32
88	47778.56
86	47779.93
90	47782.24
89	47786.92
87	47789.37
86	48006.97
86	48284.36
86	50331.22
90	50371.6
88	50634.33
86	50697.58
86	51899.98
87	51906.7
90	51907.96
89	51909.51
86	53377.34
86	55125.64
86	55568.4
86	55965.41
86	56417.95
88	57360.38
86	58042.87
86	58730.41
86	59591.89
90	60717.88
87	60717.92
87	62525.23
86	62526.68
89	62526.78
90	62527.97
90	63586.09
86	63857.09
86	64174.73
86	65439.54
90	65443.65
86	66139.74
86	66610.21
87	67370.96
86	67773.97
86	68365.36
86	68660.23
86	68899.64
86	69036.19
86	69336.25
86	69432.61
86	70824.91
86	71183.42
87	71400.14
88	71405.07
89	71406.37
86	71406.42
90	71407.2
86	72273.61
90	72278.83
89	72289.7
87	72290.42
88	73613.58
86	74822.43
86	75048.11
86	75520.23
87	76511.1
86	76707.04
90	77919.46
88	77925.44
86	78691.74
89	79130.33
86	79976.55
90	79977.58
88	79978.15
89	79978.94
87	79979.29
86	79992.34
86	80814.98
88	81652.85
86	87420.47
87	87420.71
88	87425.55
90	87426.14
89	87427.86
86	88767.7
86	88886.43
86	89423.65
86	90576.53
86	90837.21
86	91314.14
88	94294.79
87	94315.4
90	94318.64
86	94644.23
86	95773.86
86	96548.91
86	97942.41
86	99546.9
86	99692.76
86	100368.97
86	100625.95
87	100699.3
86	100735.67
86	100975.46
86	101614.37
89	101636.37
90	101638.59
87	101639.59
88	101647.11
86	101988.67
86	102376.39
86	102672.03
86	103044.31
86	103603.28
89	103786.81
86	103786.88
88	103787.12
87	103789.82
90	103799.6
88	104527.18
86	105980.77
88	106270.76
86	106717.62
86	107852.42
90	107857.31
86	108081.4
87	109500.45
89	109500.48
86	109501.87
87	109503.77
90	109506.77
88	109970.7
86	110608.79
90	110614.2
86	110817.3
86	111190.32
89	111191.87
86	112150.96
87	112157.02
86	114540.21
90	114540.59
87	114544.08
86	115187.05
86	115349.32
86	115860.45
86	116072.3
86	116996.18
86	117218.09
87	117356.69
86	117524.1
88	117787.11
89	117789.72
90	117789.76
86	117791.92
87	117792.16
86	117804.92
86	118980.58
88	119000.03
89	119001.54
90	119001.79
87	119004.78
86	119909.4
89	120309.19
87	120310.81
90	120310.94
86	120312.21
89	120313.36
86	121321.57
86	124362.98
86	124912.41
86	125073.62
86	126609.97
86	127285.74
88	127299.62
86	128032.5
86	128453.48
86	129143.59
86	130065.44
86	130523.39
89	130705.93
86	130708.84
87	130711.68
90	130712.94
86	131371.22
88	133024.66
86	133029.35
90	133030.76
87	133032.18
88	133607.06
86	133609.93
86	134431.81
88	134740.52
86	137925.65
86	138877.33
86	139213.48
86	140284.1
86	140500.26
88	141227.97
87	141246.23
86	141246.75
89	141249.39
90	141253.29
86	141977.26
86	143003.72
86	143707.19
90	143708.4
87	143709.75
86	144885.86
88	144905.94
89	144905.96
90	144906.03
87	144907.25
90	145210.56
86	146175.98
88	146752.6
86	147082.7
88	150005.15
89	150005.27
86	150005.44
90	150005.81
87	150006.04
87	150006.75
90	150006.84
86	150006.91
89	150007.18
88	150007.57
88	151005.23
89	151005.58
90	151005.69
86	151005.83
87	151006.32
90	151006.69
88	151007.16
89	151007.22
86	151007.33
87	151007.55
90	151007.96
88	152005.06
89	152005.35
86	152005.42
90	152005.65
87	152005.82
87	152006.72
86	152006.74
90	152006.8
89	152007.03
86	152309.07
87	152931.11
86	152934.55
90	152938.78
89	152940.97
88	152942.13
88	153005.24
89	153005.71
90	153005.72
86	153006.29
87	153006.37
86	153007.6
89	153008.01
90	153008.2
87	153329.6
89	153329.86
86	153331.15
90	153331.52
88	153339.18
86	153979.33
88	154005.05
89	154005.45
86	154005.72
90	154005.97
87	154006.23
87	154006.89
86	154007.14
89	154007.24
90	154007.34
88	154725.47
86	154726.03
90	154728.92
87	154729.35
89	154730.69
88	154749.5
86	154905.1
88	155005.11
89	155005.55
90	155005.67
86	155005.98
88	155006.22
87	155006.28
90	155006.89
89	155006.99
86	155007.0
87	155007.47
89	155808.52
88	155808.72
86	155809.08
87	155811.66
90	155811.73
86	155825.27
88	156005.07
90	156005.3
89	156005.38
87	156005.61
86	156005.78
90	156006.56
86	156006.58
87	156006.61
89	156006.67
88	156007.05
90	156007.49
86	156007.67
89	156008.09
87	156008.41
88	156505.18
86	156529.61
89	156532.47
88	157005.17
89	157005.27
87	157005.49
86	157005.69
90	157005.96
86	157007.02
87	157007.12
90	157007.12
89	157007.13
86	157008.37
89	158005.25
88	158005.27
90	158005.47
86	158005.59
87	158005.83
90	158006.48
86	158006.59
87	158006.97
89	158007.02
90	158008.13
88	159004.88
89	159005.23
90	159005.48
86	159005.61
87	159006.11
88	159006.27
89	159006.72
90	159007.05
86	159007.14
87	159007.31
86	159008.98
86	159302.81
86	159879.51
88	160003.21
90	160003.27
86	160003.32
86	160004.36
87	160005.19
88	160005.2
89	160006.59
86	160804.5
90	161003.28
88	161003.29
86	161003.36
87	161005.51
89	161011.02
90	162003.43
86	162003.45
88	162003.58
87	162005.59
88	162427.7
88	163003.21
86	163003.3
90	163003.39
87	163005.56
88	164003.21
86	164003.44
90	164003.45
87	164005.13
86	164008.19
89	164009.19
90	164989.25
86	164995.03
88	165003.17
90	165003.83
86	165003.88
87	165005.9
86	165496.77
88	165756.74
86	165779.31
88	166003.15
86	166003.31
90	166003.47
87	166005.45
89	166007.95
86	166531.73
86	166778.19
86	167003.06
90	167003.24
88	167003.49
87	167006.27
89	167008.19
86	167388.17
90	168003.22
86	168003.34
88	168003.37
87	168005.38
89	168007.7
86	168620.68
86	169003.34
88	169003.34
90	169003.6
87	169005.66
89	169008.43
86	170113.19
86	170516.34
89	170518.32
90	170518.77
87	170518.95
86	171964.19
86	172016.14
89	172017.22
88	172017.47
90	172018.82
87	172020.82
87	172436.83
86	172438.34
90	172441.25
89	172443.68
88	172454.94
86	173400.79
86	175214.9
86	176106.51
86	176834.79
87	179019.58
86	179020.54
89	179020.97
90	179021.11
90	179022.97
87	179023.95
86	179025.76
86	179382.46
86	179894.17
86	180410.94
86	181861.34
86	182200.98
86	182755.02
86	184989.81
90	185208.5
86	185210.62
87	185218.86
86	186007.72
86	188215.17
86	188642.01
88	188942.5
86	189223.49
86	189622.78
86	189778.26
87	190294.22
86	193104.53
87	193109.8
86	193251.73
89	193256.58
90	193266.44
88	193267.57
87	193267.64
87	193495.6
86	193496.88
90	193501.29
86	194133.48
90	194896.05
86	196598.15
86	196852.77
88	197696.14
86	197698.42
90	197702.2
89	197790.18
90	197794.62
86	199126.13
86	199456.68
86	201425.65
86	201685.85
86	202387.12
87	203728.79
90	205852.75
86	205855.63
89	205857.42
86	206433.61
88	206491.31
90	207261.99
86	207306.54
86	208123.66
87	208132.22
90	208137.54
86	208696.88
89	208952.54
87	208953.56
86	208954.64
90	208956.69
88	208957.68
90	209359.99
86	209696.43
89	210596.0
88	212515.45
86	212765.63
87	212770.18
86	213389.16
87	216043.94
86	216202.5
88	217795.73
88	218048.21
86	218289.99
86	218910.08
90	219601.14
89	220103.19
86	220103.22
88	220103.63
90	220104.13
87	220104.75
90	220106.46
86	220929.27
86	221209.2
86	221900.0
86	222261.02
86	224118.62
86	225609.17
86	225811.44
87	226077.99
