sender	sample_num
111	25139
111	37373
113	103786
114	103929
111	103971
114	104072
111	104074
113	104092
112	104198
111	128276
114	147354
111	147362
113	147433
112	147513
114	147684
111	147790
113	148338
111	184424
114	186007
112	186065
113	186390
114	186591
111	186619
113	186785
114	186845
111	255851
114	332468
113	332604
111	332623
114	418500
111	418881
113	419128
112	419221
114	420441
115	420763
111	451493
111	519534
114	520642
114	520731
113	520738
111	520862
113	520935
112	520978
114	521024
111	585432
114	585445
113	585632
114	585634
112	585765
114	586324
111	586346
113	586481
111	626823
111	721994
111	758788
114	758808
113	759062
112	759123
111	841919
111	953693
114	1062718
112	1063089
113	1063539
114	1063753
111	1063837
113	1064004
111	1098763
114	1099059
113	1099243
112	1099303
114	1100131
114	1168530
111	1168544
113	1168579
113	1168736
114	1169046
112	1169181
111	1239103
112	1271591
114	1271629
113	1271796
111	1271826
114	1272509
111	1341362
114	1341413
113	1341552
111	1468121
114	1491633
111	1491649
113	1491738
112	1491858
114	1491910
114	1557862
113	1558045
114	1683222
113	1683431
111	1683543
114	1684114
112	1684220
113	1684350
114	1733989
111	1734016
113	1734146
114	1734725
113	1734961
112	1734970
113	1814447
114	1814455
111	1814476
112	1814480
115	1814539
112	1897481
114	1897561
113	1897636
111	1897672
114	1897708
113	1898085
114	1898097
113	1998884
114	1998929
111	1998977
114	1999207
112	1999252
113	1999334
111	2037607
113	2037609
114	2037617
114	2038603
113	2038833
111	2153966
111	2196990
114	2197137
113	2197172
113	2197346
114	2197798
112	2197963
111	2225667
111	2281452
111	2312476
114	2312576
113	2312606
112	2312768
115	2528229
112	2528248
114	2528294
113	2528388
111	2529086
114	2529342
113	2529389
112	2529404
111	2556353
114	2591938
113	2592135
111	2592810
113	2592917
112	2665366
113	2665377
114	2665464
111	2665892
114	2666053
111	2666194
113	2666230
111	2693865
113	2706024
111	2727557
111	2847444
114	2896675
112	2896676
113	2896967
111	2897659
114	2972321
111	2972335
113	2972620
114	2973562
113	2973618
111	2973644
112	2973744
111	3021708
114	3021736
113	3021861
112	3021883
114	3022464
111	3039319
112	3072533
114	3072630
111	3072644
113	3072655
114	3072829
113	3073053
114	3073133
113	3096426
111	3267157
114	3288499
113	3288794
114	3288955
111	3288975
113	3342578
112	3342608
114	3342839
111	3343523
114	3343574
115	3343601
113	3343705
111	3343799
112	3343854
114	3368995
113	3369210
111	3369215
114	3369314
114	3369468
112	3369473
113	3369486
111	3369577
114	3369712
111	3460660
114	3473067
111	3712534
111	3737807
111	3814964
114	3814971
113	3815055
113	3815626
114	3848227
112	3848531
113	3848572
111	3848588
111	3917743
111	3946762
114	3962686
111	3962752
113	3962804
114	3962857
111	4074201
114	4074280
112	4074472
113	4074532
111	4075043
114	4075065
113	4075067
111	4110355
114	4148392
113	4148556
111	4149432
111	4211794
111	4245943
113	4306939
111	4306956
114	4306985
114	4307261
112	4307295
113	4307407
111	4379370
114	4467045
113	4467224
112	4467295
111	4467324
114	4467434
113	4467621
115	4468711
111	4572453
111	4643801
113	4757559
114	4757633
111	4757701
114	4757718
112	4757834
113	4757906
111	4884241
111	4903588
111	5089340
111	5108576
111	5240850
111	5322058
111	5351103
115	5351382
113	5351500
114	5351506
112	5351735
114	5352778
111	5368473
114	5369052
114	5372453
113	5372563
111	5464539
111	5512958
114	5513092
113	5513381
112	5513505
111	5514419
114	5514420
113	5514482
114	5611007
111	5611041
113	5611136
111	5646146
111	5683136
114	5683185
113	5683227
112	5683254
115	5683282
113	5683326
114	5683338
111	5683423
114	5683464
112	5683521
114	5683606
111	5683608
113	5683639
111	5922574
114	5922603
113	5922747
112	5923844
115	5923874
113	6023726
114	6023739
112	6023784
111	6023872
114	6024017
113	6024049
114	6024224
111	6060957
114	6072347
111	6072367
114	6072421
113	6072454
112	6072529
115	6072542
111	6072565
114	6072687
113	6072697
112	6072797
114	6183148
111	6196228
114	6210499
113	6210723
114	6210970
111	6211347
111	6309162
111	6338916
111	6368084
113	6385209
114	6385406
111	6484647
114	6522956
111	6523015
113	6523071
114	6523160
112	6523330
113	6523408
111	6579942
114	6588071
113	6588115
111	6588192
112	6588250
113	6588780
114	6588818
111	6626770
115	6689834
112	6689857
114	6689864
113	6689968
111	6690696
111	6784482
111	6852136
111	6886492
113	6886965
114	6889131
111	6910215
115	6971306
112	6971378
114	6971550
111	6971624
113	6971630
114	6972243
113	6972272
111	7052545
114	7101556
111	7101808
113	7101940
112	7102047
115	7103118
111	7103158
114	7182781
113	7182872
114	7222641
115	7222672
113	7222711
112	7222715
114	7222813
111	7222827
113	7222842
112	7222864
114	7222940
111	7255563
111	7360174
114	7360182
113	7360326
112	7360390
114	7360443
113	7360515
114	7499206
111	7502188
112	7502233
113	7502382
114	7502420
113	7502910
114	7502971
114	7552049
113	7552097
111	7552097
114	7552256
112	7552364
113	7552421
111	7598459
113	7598479
114	7598489
112	7598632
113	7599105
114	7599263
111	7599391
112	7664321
113	7700357
114	7700391
111	7700485
114	7700580
112	7700743
111	7700802
113	7701029
111	7731311
111	7744816
113	7744844
114	7744965
112	7745191
111	7840908
111	7960731
113	7960746
114	7960877
113	7960947
111	7961055
112	7961990
111	7974264
111	8002251
112	8002273
114	8002306
113	8002412
115	8002458
114	8002903
111	8134475
111	8159335
114	8206708
111	8207371
113	8207767
112	8207854
113	8276941
111	8276991
114	8277008
114	8277142
112	8277749
113	8364747
114	8364998
111	8365292
114	8607644
111	8608966
113	8609061
114	8609972
111	8644396
113	8682849
114	8682873
111	8682970
114	8683118
112	8683194
111	8764177
114	8786680
111	8878399
111	8954271
114	9012150
113	9012154
111	9012285
112	9012332
114	9012523
111	9089198
114	9207037
112	9207778
114	9222147
111	9222213
113	9222271
112	9222351
114	9222434
114	9222806
111	9281362
111	9349984
114	9365907
113	9365985
111	9366734
114	9366832
112	9366932
113	9367158
114	9504318
111	9504342
115	9504360
112	9504372
113	9504446
114	9504665
113	9505327
111	9586677
114	9612255
112	9613179
113	9613300
114	9613463
111	9613469
113	9613646
114	9649855
113	9650299
112	9650636
111	9651472
114	9651504
111	9730380
114	9763174
111	9763440
112	9763531
113	9763537
114	9786893
111	9787120
113	9787122
113	9787823
112	9788166
114	9929325
113	9929652
114	9929782
111	9929839
113	9929849
114	9930003
111	9992317
113	10010765
114	10010809
111	10011722
111	10255089
114	10255197
113	10255316
112	10255359
115	10256327
114	10256330
111	10287593
111	10406442
114	10406463
113	10406658
114	10407370
111	10407735
112	10408996
111	10428491
113	10469458
111	10470566
114	10470566
113	10522988
114	10523241
111	10634651
111	10650431
112	10650577
114	10650586
113	10650724
111	10651446
114	10651446
113	10651552
114	10697230
111	10697275
113	10697306
112	10697722
111	10735739
114	10735991
112	10736008
113	10736012
114	10736977
111	10788442
111	10870948
113	10871085
112	10871348
114	10901275
113	10901326
114	10901799
111	10901992
112	10902498
114	10959374
111	10988398
113	11136565
114	11136627
111	11136766
112	11136965
114	11137071
111	11137158
111	11149161
114	11237563
111	11237610
112	11237641
113	11237702
114	11237744
111	11253026
111	11330037
113	11332635
114	11333076
114	11333223
111	11333392
112	11333878
111	11426210
112	11504753
114	11504879
113	11504916
113	11505175
111	11505230
114	11505380
112	11592170
115	11592175
114	11592710
111	11592832
113	11592838
114	11592933
113	11592986
112	11593029
111	11593034
114	11593160
113	11593168
111	11660462
111	11774989
111	11852937
114	11853058
113	11853306
114	11853480
115	11854855
111	11920504
111	11941767
114	12039146
113	12039249
114	12039804
111	12039895
115	12039895
112	12040032
113	12040052
114	12040085
111	12040097
114	12080172
111	12080462
113	12080711
112	12080939
114	12081552
111	12095328
111	12132331
114	12168349
111	12168417
113	12168510
112	12168515
114	12168564
112	12168687
111	12168688
114	12168691
113	12168728
113	12225118
114	12225124
111	12225143
112	12225351
111	12248156
111	12267202
112	12281341
114	12281461
111	12281558
113	12281886
114	12283031
113	12283551
114	12343493
111	12343581
113	12343585
112	12343648
114	12343802
111	12385236
114	12385442
113	12385476
112	12385665
114	12508089
111	12508229
113	12508286
114	12509037
111	12553898
111	12650141
111	12684455
115	12690466
114	12690568
113	12690579
111	12690659
111	12704856
114	12745349
111	12745790
111	12765286
114	12834406
111	12834431
113	12834533
112	12834591
114	12834738
113	12835150
112	12872710
114	12872715
113	12873069
111	12873137
113	12873314
114	12873347
114	12939696
112	12939796
111	12939876
113	12939909
114	12940014
113	12940045
111	13052696
114	13057347
113	13057379
111	13057381
114	13057479
111	13057506
112	13057513
113	13057527
114	13111433
113	13111495
111	13111526
114	13111627
112	13111639
113	13111824
111	13111826
111	13263664
111	13424409
113	13433645
114	13433841
111	13433971
113	13434695
112	13434814
111	13434981
111	13451506
114	13464262
111	13464410
113	13464558
114	13464563
112	13464598
113	13464791
111	13590998
113	13662687
114	13662812
114	13663395
112	13663588
111	13663687
113	13664031
114	13740469
113	13740687
111	13741541
114	13783248
111	13783330
113	13783512
112	13783600
114	13783635
111	13783700
113	13783831
114	13812220
111	13812284
113	13812420
112	13812427
114	13812777
113	13812808
111	13826970
114	13847856
111	13847860
113	13847965
112	13847986
115	13849034
111	13881056
114	13881151
113	13881296
115	13882548
112	13882597
114	13882686
111	13882706
113	13882956
111	13909390
114	14019842
113	14021904
114	14021904
111	14021965
112	14022151
113	14022388
111	14038954
111	14077170
113	14082703
114	14084909
113	14085513
114	14085596
111	14085640
112	14085841
111	14148200
114	14148214
113	14148326
112	14148459
114	14148875
113	14148911
111	14149245
113	14251175
114	14251411
111	14252007
114	14252089
115	14252089
112	14252206
111	14285487
111	14399513
114	14462936
111	14462966
115	14462979
112	14463015
113	14463048
112	14463110
114	14463120
113	14463131
111	14463214
114	14546931
111	14547070
113	14547155
114	14547245
112	14547245
113	14547352
112	14547453
111	14547681
111	14630047
114	14630138
113	14630277
112	14630288
114	14630320
113	14630495
111	14630794
111	14644477
111	14678364
114	14678366
113	14678409
112	14678482
114	14678568
113	14678642
114	14678789
114	14749506
111	14749592
113	14749618
114	14749678
112	14749749
113	14749858
111	14749895
114	14749963
111	14815836
114	14873819
111	14873868
113	14873887
113	14874032
114	14874056
112	14874065
113	14874247
114	14943578
113	14943777
114	14943931
111	14944162
112	14944312
112	15041152
113	15041211
114	15041224
111	15041247
114	15041891
115	15041945
113	15042074
111	15042087
113	15073829
111	15091601
111	15138204
111	15272233
111	15280824
114	15281100
112	15281291
113	15282061
114	15283331
111	15283685
111	15327013
111	15346920
114	15347019
114	15347126
112	15347196
113	15347202
111	15361786
114	15452963
112	15454587
115	15455269
113	15455371
114	15455413
111	15455683
114	15524708
111	15524943
114	15525088
113	15525141
112	15525266
113	15525473
111	15634540
111	15668963
114	15689473
111	15689998
112	15690244
114	15690607
113	15690670
114	15691022
111	15780110
113	15874807
111	15874829
114	15874957
112	15874973
113	15875030
111	15875032
114	15875183
112	15875263
114	15924300
113	15924555
111	15925754
112	15925941
114	15926020
114	15926195
113	15926274
112	16037115
114	16037185
113	16037293
114	16037371
111	16037671
111	16096850
111	16138547
111	16162060
111	16191364
111	16214953
114	16229967
113	16229998
111	16238282
111	16300801
111	16319776
111	16368350
112	16414562
113	16414712
114	16414743
111	16414924
114	16415641
113	16415740
111	16415853
114	16584017
114	16615973
111	16616077
113	16616097
112	16616408
114	16616454
113	16616555
111	16738134
114	16738326
112	16738330
113	16738754
114	16739503
111	16739559
113	16739702
114	16739975
114	16857081
111	16878227
114	16883732
113	16893820
114	16893919
111	16893975
114	16894053
112	16894058
113	16894114
114	16937685
111	16937724
113	16937767
112	16937921
114	16938033
113	16938257
111	16938300
111	16983135
114	17014360
114	17044427
113	17044551
111	17044728
114	17045223
111	17150218
113	17173100
111	17217336
113	17302266
114	17302644
111	17302803
113	17302991
112	17303160
114	17303215
111	17467376
113	17467422
114	17467434
112	17467587
114	17467748
113	17468065
114	17468070
111	17468170
111	17530685
111	17571933
114	17597025
113	17597027
111	17597055
115	17597102
112	17597134
114	17597226
113	17597249
112	17669853
114	17670070
113	17670095
114	17670676
111	17670875
111	17712841
114	17726579
111	17726688
112	17726805
113	17726911
114	17726917
113	17727413
114	17854159
113	17854287
111	17854448
115	17855679
112	17855771
111	17987790
114	17987811
113	17987902
112	17988136
114	17988481
111	18083962
112	18109764
111	18109831
114	18109974
113	18110008
114	18111029
115	18111047
111	18111074
113	18111128
112	18111258
113	18111259
111	18138741
111	18161621
111	18225217
114	18225695
114	18244985
111	18245070
113	18245287
114	18245741
111	18245829
113	18245870
111	18335258
111	18390616
112	18391209
113	18391601
114	18391694
114	18457311
111	18459529
113	18459696
114	18459738
113	18459825
111	18459916
112	18459990
111	18499715
111	18536393
114	18560442
111	18604849
111	18670992
114	18678000
113	18678030
112	18678157
111	18678189
114	18678202
112	18678231
113	18678307
114	18678380
111	18707212
111	18721653
114	18807467
113	18807476
111	18807505
114	18807652
114	18878275
113	18878419
111	18878460
114	18916025
113	18916164
111	18916193
114	18916195
113	18916496
112	18940198
114	18940205
111	18940302
113	18940376
114	18940426
113	18940667
113	18967342
114	18967408
113	18967481
111	18967619
114	18967965
111	19041538
113	19042600
114	19042845
114	19104059
113	19104171
111	19104378
114	19104401
112	19104468
111	19104692
113	19136637
114	19136638
111	19136665
114	19136793
112	19136795
111	19136815
113	19137235
111	19248852
113	19299660
114	19299717
114	19300521
111	19312100
111	19335118
114	19367571
111	19367581
113	19367810
114	19368553
114	19368662
112	19368723
113	19368970
111	19409230
114	19674709
113	19674722
112	19674735
111	19674969
111	19720077
113	19720212
114	19720439
114	19720840
113	19720883
112	19721127
111	19763733
114	19799619
114	19829448
111	19829559
113	19829633
113	19830198
114	19830249
112	19830496
115	19837722
114	19859245
111	19864167
114	19986454
114	20012310
111	20012310
113	20012352
114	20012539
112	20012582
114	20046746
113	20046764
111	20046788
114	20046920
112	20046927
111	20046941
113	20047032
111	20096337
114	20175154
111	20175287
114	20175773
113	20175778
111	20175800
112	20176000
113	20176019
114	20265250
111	20265273
113	20265457
112	20265665
111	20382155
114	20383880
113	20384088
114	20384307
111	20416229
111	20578367
111	20613568
114	20613692
113	20613976
114	20614502
111	20940956
114	20978560
113	20978590
114	20978746
111	20978924
114	20979345
111	21024513
114	21045864
113	21046181
114	21046800
111	21046863
112	21047014
113	21047033
111	21047129
111	21159075
114	21168342
113	21168474
111	21168542
113	21168879
114	21168898
112	21168974
114	21169084
111	21169100
111	21211304
114	21227709
111	21227765
113	21227850
111	21279613
114	21280075
112	21280145
113	21280365
114	21280876
111	21346917
114	21370804
113	21370814
111	21370919
112	21370976
113	21371047
111	21395319
114	21396798
113	21396919
113	21440384
