sender	time_ms
136	207.72
136	849.26
140	1030.69
137	1031.1
136	1032.71
138	1032.74
140	1033.84
137	1034.38
136	1034.63
138	1034.87
139	1035.21
140	1035.69
137	1036.42
138	1036.89
140	1037.84
137	1037.86
136	1037.89
138	1039.57
138	1233.31
140	1454.08
138	1459.49
136	1459.64
137	1462.47
139	1470.01
140	1475.89
138	1476.1
137	1476.46
139	1476.98
136	1477.1
140	1477.33
137	1477.93
138	1477.95
140	1478.24
136	1478.39
138	1478.51
137	1479.49
140	1479.53
136	1479.87
138	1480.05
140	1480.4
137	1480.68
140	1857.9
137	1858.24
139	1858.43
138	1859.04
136	1859.1
136	1860.45
140	1860.72
138	1860.87
137	1860.88
137	1862.21
140	1862.81
136	1862.83
138	1862.92
140	1863.7
139	1863.8
138	1864.79
136	1865.11
137	1865.16
140	1865.78
138	1866.11
140	1866.36
139	1866.73
136	1867.01
137	1867.53
136	2900.81
140	3319.06
137	3321.36
138	3322.74
136	3324.24
139	3324.73
140	3324.92
138	3325.24
137	3325.33
136	3325.66
140	3325.66
138	3326.55
140	3326.55
137	3326.56
136	3326.61
139	3327.07
138	3327.55
137	3327.87
140	3328.1
136	3328.23
138	3328.61
137	3329.19
136	3330.44
140	3331.14
136	3609.36
140	4192.07
137	4192.17
136	4193.27
138	4193.42
137	4195.31
140	4195.7
139	4195.88
138	4196.38
140	4196.96
136	4197.2
137	4198.08
138	4199.44
138	5195.38
136	5196.76
137	5199.94
140	5200.33
138	5203.6
139	5203.88
140	5205.46
137	5206.63
140	5206.88
136	5207.04
137	5207.61
138	5207.74
140	5207.85
139	5208.14
138	5208.44
136	5208.71
140	5208.89
137	5208.92
140	5209.88
136	5209.89
138	5209.94
137	5210.39
136	5211.85
138	5211.93
140	5212.03
139	5213.59
139	5854.73
140	5855.09
137	5855.18
136	5855.3
138	5855.85
140	5856.26
137	5856.47
138	5856.66
136	5857.05
139	5857.31
140	5857.37
137	5858.03
138	5858.37
140	5858.53
136	5858.66
137	5858.81
138	5859.81
136	5859.92
140	5860.17
138	5864.3
136	6380.52
137	7565.13
140	7590.5
139	7591.93
136	7592.62
138	7592.98
137	7593.33
140	7594.63
136	7595.16
137	7595.26
138	7595.79
138	7598.14
140	7598.54
139	7606.51
137	7606.57
140	7609.63
136	9282.1
136	10141.86
136	10573.93
140	10634.41
137	10634.5
138	10634.56
136	10634.69
139	10634.88
137	10635.54
140	10635.84
138	10636.39
137	10637.13
136	10637.22
140	10637.3
138	10637.9
137	10638.36
136	10638.61
140	10638.65
138	10638.72
140	10639.74
138	10640.14
136	10641.68
137	10641.95
139	10641.96
140	10642.95
140	10993.81
136	10993.95
137	10994.31
139	10994.7
138	10994.84
140	10995.78
137	10995.86
138	10995.91
136	10996.03
140	10996.99
138	10997.06
136	10997.13
137	10997.28
140	10998.75
138	10999.77
139	11000.03
137	11000.36
140	11000.44
136	11001.03
136	11398.24
140	11410.97
138	11675.37
137	11676.77
140	11678.99
136	11679.42
139	11680.18
140	11680.93
137	11682.28
138	11683.38
136	11683.81
140	11684.35
138	11685.69
140	11686.67
137	11686.69
136	11686.77
139	11687.47
138	11687.77
138	11688.75
140	11688.96
137	11688.98
136	11689.14
136	11691.14
138	11691.64
140	12717.39
137	12717.84
138	12718.08
138	12719.26
136	12719.29
139	12719.48
140	12719.66
137	12719.9
136	12720.65
140	12721.07
138	12721.1
137	12721.48
136	12722.54
140	12722.89
137	12723.01
138	12723.51
139	12724.26
136	12724.28
140	12724.57
138	12724.89
137	12725.15
140	12725.91
137	12728.52
136	13412.29
138	13412.35
137	13412.66
139	13412.73
140	13412.83
137	13413.91
140	13413.94
136	13413.97
138	13413.99
140	13415.32
137	13415.37
138	13415.5
136	13415.66
140	13416.23
139	13416.35
138	13416.87
140	13417.04
137	13417.12
136	13417.97
138	13418.83
136	13640.38
136	14576.38
136	14897.47
140	14918.14
139	14918.64
138	14918.66
137	14918.86
140	14919.27
136	14919.31
138	14919.43
140	14919.89
137	14919.99
136	14920.5
140	14920.86
137	14920.93
138	14920.98
136	14921.86
138	14921.89
140	14922.11
139	14922.42
137	14922.78
136	14923.29
138	14925.08
137	15379.66
140	15578.78
138	15579.15
136	15579.31
139	15579.38
137	15579.79
138	15580.1
136	15580.38
140	15580.79
137	15581.25
138	15581.47
140	15581.99
136	15582.3
137	15582.32
140	15582.69
138	15583.44
136	15583.54
137	15583.94
140	15584.2
138	15584.56
139	15584.65
139	16830.13
140	16830.55
137	16830.75
138	16831.53
140	16831.66
137	16832.03
136	16832.07
138	16832.78
136	16833.47
137	16833.7
140	16833.78
138	16834.19
136	16834.26
137	16834.75
138	16834.98
136	16835.34
140	16835.45
137	16835.93
140	16836.08
139	16836.51
138	16836.79
140	16837.05
137	16837.87
139	16837.92
136	16838.03
138	16838.81
139	17332.28
137	17332.99
136	17335.95
140	17338.16
138	17338.79
136	17339.07
140	17340.15
137	17340.3
138	17341.63
140	17343.39
138	17343.6
139	17344.13
137	17344.21
136	17346.3
140	17346.67
137	17347.49
138	17348.12
140	17349.13
136	17350.86
138	18142.74
139	18142.93
140	18143.82
137	18144.12
136	18145.13
140	18145.98
138	18146.0
137	18146.82
136	18148.08
140	18148.57
137	18148.95
138	18149.81
140	18151.95
136	18152.77
139	18153.24
136	18891.79
137	18964.18
139	18964.42
138	18966.13
136	18968.57
140	18969.1
139	18976.94
140	18976.95
138	18977.66
140	18977.85
137	18977.92
136	18978.37
138	18978.56
140	18978.66
139	18978.79
137	18979.22
138	18979.66
136	18979.89
140	18979.97
137	18980.8
140	18981.44
136	18981.58
138	18981.87
136	19668.97
139	19982.08
140	19983.34
137	19983.35
138	19984.49
136	19984.69
137	19988.46
136	19988.78
138	19989.74
140	19989.91
137	19990.23
136	19990.6
140	19990.81
138	19990.87
139	19991.43
140	19991.64
138	19991.65
137	19991.81
136	19991.87
140	19992.66
137	19992.81
136	19992.82
138	19992.82
139	19993.23
140	19993.65
138	19993.87
137	19995.27
138	20375.75
139	20375.95
140	20376.12
137	20376.5
136	20377.72
140	20378.3
137	20378.74
138	20379.56
136	20381.3
136	20383.46
140	20384.24
138	20384.42
137	20384.58
140	20385.24
136	20386.17
138	20386.83
136	20387.33
137	20388.58
139	20388.79
140	20389.11
136	20963.48
136	21961.09
137	21964.75
138	21966.78
140	21968.1
139	21968.66
136	21969.66
138	21969.78
137	21970.36
140	21970.91
137	21971.31
138	21972.21
140	21972.36
136	21972.76
138	21973.45
140	21974.1
137	21974.5
138	21974.74
139	21975.16
136	21975.34
137	23120.32
138	23125.12
140	23126.12
139	23126.15
137	23126.59
136	23127.27
138	23127.62
140	23128.38
136	23128.68
137	23129.14
138	23129.75
140	23129.93
137	23130.37
136	23130.9
138	23131.15
140	23131.5
139	23135.56
137	25275.66
140	25275.69
138	25278.26
136	25278.63
140	25282.98
138	25283.05
139	25283.32
136	25283.83
137	25284.83
138	25290.99
140	25291.03
139	25291.08
137	25292.38
140	25292.64
136	25293.32
138	25917.36
139	25917.89
136	25918.83
137	25918.94
140	25919.38
138	25919.95
140	25920.37
136	25920.62
137	25920.76
138	25921.26
140	25921.88
137	25922.26
136	25922.69
140	25922.99
138	25923.06
139	25923.32
137	25923.58
136	25923.85
138	25924.04
140	25924.67
137	25924.95
140	25927.44
136	26473.11
138	26651.31
139	26651.74
137	26652.13
140	26652.48
136	26653.59
138	26654.51
137	26654.61
140	26654.99
136	26655.83
137	26657.19
140	26657.69
138	26657.74
138	26659.24
140	26659.51
137	26659.58
136	26659.67
139	26660.17
140	26661.0
138	26661.53
136	26661.56
140	26662.61
136	26885.96
136	28635.98
136	28964.48
139	28971.14
137	28971.14
140	28972.49
138	28973.03
140	28976.96
138	28977.31
137	28977.46
139	28977.68
136	28978.36
136	28979.26
137	28979.29
138	28979.3
140	28979.36
137	28980.55
140	28980.68
138	28981.12
139	28981.64
136	28983.68
137	28984.21
140	28984.25
138	29727.54
140	29727.62
137	29727.69
139	29727.7
136	29728.2
138	29729.0
136	29729.31
140	29729.4
137	29729.66
140	29730.61
137	29731.2
136	29731.83
138	29732.23
140	29733.93
138	29734.19
139	29734.9
140	30217.9
137	30218.09
136	30218.18
139	30218.59
138	30218.67
137	30218.86
140	30218.9
138	30219.38
136	30219.47
140	30219.96
136	30220.36
137	30220.38
140	30221.08
138	30221.17
137	30221.55
140	30221.76
139	30221.92
138	30222.1
136	30222.5
138	30224.48
140	30719.36
138	30719.87
139	30720.4
136	30720.68
137	30721.04
140	30721.68
138	30722.14
137	30722.35
136	30723.04
138	30729.02
140	30729.24
139	30729.3
137	30729.49
136	30730.02
140	30730.34
138	30730.97
137	30731.1
140	30731.4
140	30732.37
136	30732.45
138	30732.94
137	30733.55
136	30735.36
139	31377.44
139	32873.38
136	32873.52
138	32875.18
140	32876.51
137	32876.66
140	32886.61
138	32886.8
139	32887.09
137	32887.26
136	32887.42
140	32888.28
138	32888.43
137	32888.69
136	32888.94
140	32889.17
138	32889.44
137	32889.47
138	32889.95
136	32890.31
140	32890.31
137	32890.68
136	32890.83
140	32891.05
138	32891.33
137	32892.25
136	33391.02
140	33423.3
137	33429.5
139	33430.72
138	33431.24
140	33432.44
136	33432.5
138	33433.33
137	33434.33
138	33435.65
136	33435.73
140	33435.77
140	33437.21
137	33437.22
139	33437.63
138	33438.03
137	33438.53
138	33438.63
140	33438.63
139	33438.71
136	33439.35
140	33440.25
137	33440.3
136	33441.32
138	33684.33
139	33685.22
140	33685.3
137	33685.58
136	33686.74
140	33687.47
138	33688.75
137	33689.34
136	33691.72
138	33691.75
140	33691.8
137	33693.08
139	33693.23
140	33693.58
138	33693.59
136	33693.71
137	33694.5
140	33694.75
136	33695.01
138	33695.13
137	33695.22
140	33696.82
136	33998.47
136	34615.54
136	34744.47
136	35071.37
136	36734.19
137	37763.45
136	38146.42
139	38147.6
137	38147.85
138	38148.71
140	38148.9
137	38150.27
140	38150.31
138	38150.54
136	38150.59
140	38151.63
138	38151.64
137	38151.66
136	38151.81
139	38151.92
138	38153.28
137	38153.31
140	38153.32
136	38153.44
138	38155.75
140	38156.63
136	38466.58
138	38469.07
140	38469.13
137	38469.98
137	38473.63
140	38473.7
139	38473.97
138	38475.27
136	38479.12
136	39179.47
137	39620.5
140	39620.71
136	39620.87
138	39621.73
137	39622.47
140	39622.62
139	39623.75
140	39623.77
138	39623.91
137	39624.41
136	39624.42
138	39625.26
136	39625.74
140	39626.06
138	39626.33
137	39626.58
140	39627.03
139	39627.26
138	39627.49
136	39627.74
140	39628.11
137	39628.14
136	39629.73
138	39903.0
136	40048.07
140	40745.13
139	40745.26
137	40745.49
136	40745.66
138	40746.66
136	40748.06
140	40748.45
137	40748.54
138	40750.01
140	40750.31
137	40750.93
136	40751.02
140	40751.17
139	40751.29
138	40751.35
140	40751.73
137	40752.0
138	40752.03
136	40752.42
139	40752.62
137	40753.04
138	40753.44
136	40753.45
140	40753.48
137	40754.28
140	40754.44
138	40754.54
139	41487.81
136	41487.98
138	41488.05
140	41488.11
137	41488.98
140	41489.98
136	41490.52
138	41490.73
137	41491.29
138	41491.87
136	41491.95
137	41492.42
140	41492.66
138	41493.79
140	41494.61
139	41499.03
136	43053.13
140	43064.43
137	43064.61
138	43069.34
139	43069.98
138	43070.48
140	43070.93
136	43071.22
137	43071.52
140	43072.15
138	43072.22
136	43072.43
137	43072.59
140	43073.2
138	43073.45
137	43073.55
140	43073.68
136	43073.69
138	43074.87
137	43075.3
140	43075.4
136	43076.4
139	43077.16
140	43077.85
138	43917.96
136	44038.2
139	44669.13
140	44670.3
138	44670.46
137	44670.52
137	44671.67
136	44672.37
138	44672.55
140	44673.4
136	44673.55
137	44674.05
138	44674.45
140	44675.13
138	44675.67
140	44677.33
139	44678.29
136	44678.45
136	44983.53
136	45258.33
136	45534.15
140	47574.05
136	47574.26
139	47574.28
137	47574.29
138	47574.66
136	47575.73
138	47575.81
137	47575.96
140	47576.22
137	47577.13
140	47577.18
138	47577.51
136	47578.31
140	47578.51
138	47578.62
137	47578.78
136	47579.98
138	47580.04
140	47580.53
139	47582.59
136	47795.41
139	47853.09
136	48578.2
140	49334.49
137	49884.77
136	50795.22
136	51473.11
136	52237.25
136	53239.32
136	53500.4
140	53507.48
138	53510.85
137	53513.3
139	53517.51
140	53518.45
139	53519.72
137	53519.73
138	53519.78
136	53519.97
136	53521.06
137	53521.39
140	53521.41
138	53521.71
140	53523.18
138	53527.09
140	53720.29
137	53721.46
138	53722.03
136	53722.8
139	53722.89
140	53723.09
137	53723.66
138	53723.69
136	53724.43
138	53724.82
137	53724.97
140	53725.43
136	53726.58
140	53726.74
138	53726.85
137	53727.58
140	53727.77
138	53728.44
137	53728.58
136	53729.27
137	54379.59
139	54962.97
137	55136.54
140	55137.02
136	55137.12
138	55138.55
140	55140.18
139	55140.44
137	55142.27
136	55142.59
138	55143.74
140	55144.85
137	55144.97
138	55145.04
136	55145.11
139	55145.19
138	55146.42
140	55146.46
136	55146.61
137	55147.09
138	55147.87
140	55148.05
137	55148.09
139	55148.66
136	55149.91
136	55397.04
136	55578.48
139	56078.04
140	56105.44
136	56106.58
137	56106.99
138	56106.99
140	56109.28
137	56109.52
